formula, size, congruence, reverse, result 
P0.5N2L30.form475, 45, TO, 6, true
P0.5N2L30.form476, 36, 5, 1, true
P0.5N2L30.form477, 45, 0, 1, true
P0.5N2L30.form478, 39, 0, 4, true
P0.5N2L30.form479, 45, 1, 2, true
P0.5N2L30.form480, 36, 38, 3, true
P0.5N2L30.form481, 48, 16, 1, true
P0.5N2L30.form482, 42, 0, 0, true
P0.5N2L30.form483, 39, 30, 1, true
P0.5N2L30.form484, 51, 22, 0, true
P0.5N2L30.form485, 42, 10, 1, true
P0.5N2L30.form486, 45, 1, 5, true
P0.5N2L30.form487, 39, 0, 1, true
P0.5N2L30.form488, 33, 0, 0, true
P0.5N2L30.form489, 36, 836, 5, true
P0.5N2L30.form490, 42, 71, 2, true
P0.5N2L30.form491, 39, 36, 2, true
P0.5N2L30.form492, 39, 2, 3, true
P0.5N2L30.form493, 42, 10, 1, true
P0.5N2L30.form494, 42, 0, 1, true
P0.5N2L30.form495, 45, 0, 3, true
P0.5N2L30.form496, 39, 175, 6, true
P0.5N2L30.form497, 42, 38, 3, true
P0.5N2L30.form498, 42, 163, 13, true
P0.5N2L30.form499, 39, 2, 3, true
P0.5N2L40.form, 55, 2, 3, true
P0.5N2L40.form1, 49, 8, 3, true
P0.5N2L40.form2, 49, 0, 4, true
P0.5N2L40.form3, 46, 33, 3, true
P0.5N2L40.form4, 46, 6, 2, true
P0.5N2L40.form5, 46, 1, 4, true
P0.5N2L40.form6, 58, 13, 6, true
P0.5N2L40.form7, 61, 0, 2, true
P0.5N2L40.form8, 61, 184, 9, true
P0.5N2L40.form9, 46, 0, 3, true
P0.5N2L40.form10, 52, 22, 2, true
P0.5N2L40.form11, 52, 13, 2, true
P0.5N2L40.form12, 55, 6, 2, true
P0.5N2L40.form13, 58, 0, 5, true
P0.5N2L40.form14, 52, 0, 6, true
P0.5N2L40.form15, 43, 0, 2, true
P0.5N2L40.form16, 55, 119, 3, true
P0.5N2L40.form17, 67, 16, 1, true
P0.5N2L40.form18, 61, 5, 12, true
P0.5N2L40.form19, 61, 12, 8, true
P0.5N2L40.form20, 52, 27, 3, true
P0.5N2L40.form21, 58, 2, 4, true
P0.5N2L40.form22, 61, 77, 11, true
P0.5N2L40.form23, 58, 6, 2, true
P0.5N2L40.form24, 46, 1, 4, true
P0.5N2L40.form25, 58, TO, 10, true
P0.5N2L40.form26, 64, 38, 7, true
P0.5N2L40.form27, 52, 0, 4, true
P0.5N2L40.form28, 49, 4, 2, true
P0.5N2L40.form29, 46, 0, 1, true
P0.5N2L40.form30, 61, 95, 8, true
P0.5N2L40.form31, 52, 9, 7, true
P0.5N2L40.form32, 52, 31, 3, true
P0.5N2L40.form33, 49, 0, 2, true
P0.5N2L40.form34, 49, 5, 15, true
P0.5N2L40.form35, 55, 0, 2, true
P0.5N2L40.form36, 52, 0, 7, true
P0.5N2L40.form37, 46, 300, 14, true
P0.5N2L40.form38, 55, 0, 2, true
P0.5N2L40.form39, 52, 135, 5, true
P0.5N2L40.form40, 52, 1076, 11, true
P0.5N2L40.form41, 58, 43, 2, true
P0.5N2L40.form42, 55, 0, 5, true
P0.5N2L40.form43, 55, 0, 2, true
P0.5N2L40.form44, 52, 259, 7, true
P0.5N2L40.form45, 52, 0, 2, true
P0.5N2L40.form46, 49, 1, 3, true
P0.5N2L40.form47, 52, 0, 2, true
P0.5N2L40.form48, 55, 0, 1, true
P0.5N2L40.form49, 61, 11, 9, true
P0.5N2L40.form50, 61, 0, 2, true
P0.5N2L40.form51, 52, 1, 8, true
P0.5N2L40.form52, 43, 0, 3, true
P0.5N2L40.form53, 61, 303, 5, true
P0.5N2L40.form54, 61, 6, 8, true
P0.5N2L40.form55, 58, 455, 3, true
P0.5N2L40.form56, 43, 12, 1, true
P0.5N2L40.form57, 64, 97, 4, true
P0.5N2L40.form58, 58, 0, 1, true
P0.5N2L40.form59, 46, 0, 5, true
P0.5N2L40.form60, 52, 108, 2, true
P0.5N2L40.form61, 61, 20, 5, true
P0.5N2L40.form62, 52, TO, 20, true
P0.5N2L40.form63, 58, 0, 5, true
P0.5N2L40.form64, 49, 878, 7, true
P0.5N2L40.form65, 55, 56, 3, true
P0.5N2L40.form66, 55, 47, 5, true
P0.5N2L40.form67, 49, 221, 3, true
P0.5N2L40.form68, 61, 0, 5, true
P0.5N2L40.form69, 52, 75, 3, true
P0.5N2L40.form70, 61, 73, 3, true
P0.5N2L40.form71, 46, 5, 2, true
P0.5N2L40.form72, 49, 8, 2, true
P0.5N2L40.form73, 67, 69, 2, true
P0.5N2L40.form74, 58, 6, 3, true
P0.5N2L40.form75, 55, 190, 2, true
P0.5N2L40.form76, 64, 3, 4, true
P0.5N2L40.form77, 49, 34, 4, true
P0.5N2L40.form78, 49, 1, 3, true
P0.5N2L40.form79, 55, 6, 3, true
P0.5N2L40.form80, 61, 63, 17, true
P0.5N2L40.form81, 49, 3, 2, true
P0.5N2L40.form82, 58, 597, 5, true
P0.5N2L40.form83, 58, 18, 2, true
P0.5N2L40.form84, 61, 0, 3, true
P0.5N2L40.form85, 52, 10, 2, true
P0.5N2L40.form86, 52, 9, 4, true
P0.5N2L40.form87, 52, 4, 2, true
P0.5N2L40.form88, 49, 28, 6, true
P0.5N2L40.form89, 49, 0, 1, true
P0.5N2L40.form90, 55, 6, 3, true
P0.5N2L40.form91, 49, 52, 2, true
P0.5N2L40.form92, 49, 1, 2, true
P0.5N2L40.form93, 58, 0, 1, true
P0.5N2L40.form94, 61, 14, 5, true
P0.5N2L40.form95, 64, 3, 1, true
P0.5N2L40.form96, 43, 0, 4, true
P0.5N2L40.form97, 55, 80, 5, true
P0.5N2L40.form98, 49, 5, 4, true
P0.5N2L40.form99, 43, 4, 2, true
P0.5N2L40.form100, 49, 1, 2, true
P0.5N2L40.form101, 46, 1, 0, true
P0.5N2L40.form102, 61, 0, 3, true
P0.5N2L40.form103, 52, 3, 4, true
P0.5N2L40.form104, 46, 0, 4, true
P0.5N2L40.form105, 52, 845, 3, true
P0.5N2L40.form106, 61, 1, 8, true
P0.5N2L40.form107, 55, 21, 2, true
P0.5N2L40.form108, 49, 318, 9, true
P0.5N2L40.form109, 55, 12, 3, true
P0.5N2L40.form110, 43, 15, 1, true
P0.5N2L40.form111, 61, 5, 5, true
P0.5N2L40.form112, 58, 0, 3, true
P0.5N2L40.form113, 55, 14, 2, true
P0.5N2L40.form114, 61, 247, 9, true
P0.5N2L40.form115, 61, 21, 4, true
P0.5N2L40.form116, 55, 0, 4, true
P0.5N2L40.form117, 55, 1, 1, true
P0.5N2L40.form118, 49, 1, 10, true
P0.5N2L40.form119, 52, 216, 6, true
P0.5N2L40.form120, 58, 0, 3, true
P0.5N2L40.form121, 55, 32, 1, true
P0.5N2L40.form122, 46, 2, 2, true
P0.5N2L40.form123, 58, 43, 2, true
P0.5N2L40.form124, 52, 4, 11, true
P0.5N2L40.form125, 52, 1789, 63, true
P0.5N2L40.form126, 58, 162, 7, true
P0.5N2L40.form127, 55, 1951, 7, true
P0.5N2L40.form128, 43, 210, 6, true
P0.5N2L40.form129, 52, 0, 2, true
P0.5N2L40.form130, 58, 0, 9, true
P0.5N2L40.form131, 49, 9, 2, true
P0.5N2L40.form132, 49, 59, 1, true
P0.5N2L40.form133, 58, 13, 6, true
P0.5N2L40.form134, 55, 468, 5, true
P0.5N2L40.form135, 52, 10, 6, true
P0.5N2L40.form136, 55, 95, 5, true
P0.5N2L40.form137, 58, 4, 2, true
P0.5N2L40.form138, 55, 2, 4, true
P0.5N2L40.form139, 52, 0, 2, true
P0.5N2L40.form140, 55, 4, 1, true
P0.5N2L40.form141, 55, 17, 6, true
P0.5N2L40.form142, 52, 216, 36, true
P0.5N2L40.form143, 52, 1, 1, true
P0.5N2L40.form144, 52, 209, 8, true
P0.5N2L40.form145, 52, 8, 11, true
P0.5N2L40.form146, 52, 249, 3, true
P0.5N2L40.form147, 61, 3, 1, true
P0.5N2L40.form148, 64, 14, 4, true
P0.5N2L40.form149, 46, 11, 3, true
P0.5N2L40.form150, 55, 7, 19, true
P0.5N2L40.form151, 58, 262, 3, true
P0.5N2L40.form152, 55, 0, 4, true
P0.5N2L40.form153, 49, 15, 1, true
P0.5N2L40.form154, 49, TO, 10, true
P0.5N2L40.form155, 64, 12, 6, true
P0.5N2L40.form156, 43, 0, 3, true
P0.5N2L40.form157, 55, 0, 2, true
P0.5N2L40.form158, 49, 11, 2, true
P0.5N2L40.form159, 64, 13, 3, true
P0.5N2L40.form160, 52, 0, 3, true
P0.5N2L40.form161, 55, 2, 3, true
P0.5N2L40.form162, 46, 0, 5, true
P0.5N2L40.form163, 55, 81, 4, true
P0.5N2L40.form164, 46, 9, 6, true
P0.5N2L40.form165, 61, 10, 2, true
P0.5N2L40.form166, 52, 10, 2, true
P0.5N2L40.form167, 46, 0, 2, true
P0.5N2L40.form168, 46, 1, 3, true
P0.5N2L40.form169, 58, 4, 2, true
P0.5N2L40.form170, 61, 85, 4, true
P0.5N2L40.form171, 49, 0, 3, true
P0.5N2L40.form172, 58, 3, 2, true
P0.5N2L40.form173, 52, 6, 4, true
P0.5N2L40.form174, 52, 0, 4, true
P0.5N2L40.form175, 46, 1, 1, true
P0.5N2L40.form176, 52, 0, 10, true
P0.5N2L40.form177, 52, 0, 4, true
P0.5N2L40.form178, 67, 16, 2, true
P0.5N2L40.form179, 61, 49, 6, true
P0.5N2L40.form180, 49, 0, 6, true
P0.5N2L40.form181, 55, 1, 13, true
P0.5N2L40.form182, 58, 176, 15, true
P0.5N2L40.form183, 61, 0, 2, true
P0.5N2L40.form184, 49, 117, 4, true
P0.5N2L40.form185, 58, 0, 2, true
P0.5N2L40.form186, 46, 0, 1, true
P0.5N2L40.form187, 61, 23, 2, true
P0.5N2L40.form188, 61, 0, 7, true
P0.5N2L40.form189, 55, 0, 8, true
P0.5N2L40.form190, 49, 3, 2, true
P0.5N2L40.form191, 61, 27, 5, true
P0.5N2L40.form192, 49, 19, 7, true
P0.5N2L40.form193, 58, 21, 4, true
P0.5N2L40.form194, 52, 0, 2, true
P0.5N2L40.form195, 61, 0, 2, true
P0.5N2L40.form196, 49, TO, 3, true
P0.5N2L40.form197, 58, 33, 2, true
P0.5N2L40.form198, 52, 0, 2, true
P0.5N2L40.form199, 46, 4, 1, true
P0.5N2L40.form200, 55, TO, 8, true
P0.5N2L40.form201, 55, 94, 9, true
P0.5N2L40.form202, 52, 0, 6, true
P0.5N2L40.form203, 46, 97, 3, true
P0.5N2L40.form204, 49, 26, 4, true
P0.5N2L40.form205, 52, 38, 3, true
P0.5N2L40.form206, 49, 0, 3, true
P0.5N2L40.form207, 52, 811, 5, true
P0.5N2L40.form208, 49, 1, 2, true
P0.5N2L40.form209, 55, 1, 8, true
P0.5N2L40.form210, 58, 0, 5, true
P0.5N2L40.form211, 55, 295, 4, true
P0.5N2L40.form212, 64, 18, 9, true
P0.5N2L40.form213, 52, 10, 4, true
P0.5N2L40.form214, 52, 0, 2, true
P0.5N2L40.form215, 67, 57, 4, true
P0.5N2L40.form216, 49, 4, 4, true
P0.5N2L40.form217, 61, 120, 3, true
P0.5N2L40.form218, 52, 34, 1, true
P0.5N2L40.form219, 58, 3, 4, true
P0.5N2L40.form220, 58, 136, 3, true
P0.5N2L40.form221, 67, 1, 4, true
P0.5N2L40.form222, 55, 2, 2, true
P0.5N2L40.form223, 64, 7, 2, true
P0.5N2L40.form224, 67, 88, 3, true
P0.5N2L40.form225, 61, 921, 5, true
P0.5N2L40.form226, 55, 0, 3, true
P0.5N2L40.form227, 58, 0, 3, true
P0.5N2L40.form228, 55, 0, 8, true
P0.5N2L40.form229, 58, 214, 42, true
P0.5N2L40.form230, 52, 0, 4, true
P0.5N2L40.form231, 52, 158, 8, true
P0.5N2L40.form232, 52, 21, 5, true
P0.5N2L40.form233, 55, 0, 2, true
P0.5N2L40.form234, 46, 46, 3, true
P0.5N2L40.form235, 46, 50, 12, true
P0.5N2L40.form236, 61, 296, 6, true
P0.5N2L40.form237, 64, 33, 4, true
P0.5N2L40.form238, 52, 5, 3, true
P0.5N2L40.form239, 58, 40, 3, true
P0.5N2L40.form240, 52, 25, 5, true
P0.5N2L40.form241, 46, 80, 4, true
P0.5N2L40.form242, 52, 0, 2, true
P0.5N2L40.form243, 52, 1378, 7, true
P0.5N2L40.form244, 49, 1, 3, true
P0.5N2L40.form245, 61, 1, 4, true
P0.5N2L40.form246, 52, 0, 2, true
P0.5N2L40.form247, 49, 778, 3, true
P0.5N2L40.form248, 52, 16, 7, true
P0.5N2L40.form249, 52, 0, 2, true
P0.5N2L40.form250, 52, 2, 2, true
P0.5N2L40.form251, 49, 39, 1, true
P0.5N2L40.form252, 61, 16, 5, true
P0.5N2L40.form253, 61, 30, 1, true
P0.5N2L40.form254, 58, TO, 21, true
P0.5N2L40.form255, 52, 11, 14, true
P0.5N2L40.form256, 49, 0, 2, true
P0.5N2L40.form257, 55, 5, 5, true
P0.5N2L40.form258, 40, 0, 1, true
P0.5N2L40.form259, 49, 0, 1, true
P0.5N2L40.form260, 52, 116, 4, true
P0.5N2L40.form261, 52, 42, 1, true
P0.5N2L40.form262, 55, 0, 1, true
P0.5N2L40.form263, 52, 112, 13, true
P0.5N2L40.form264, 55, 12, 3, true
P0.5N2L40.form265, 64, 30, 21, true
P0.5N2L40.form266, 52, 0, 7, true
P0.5N2L40.form267, 52, 18, 3, true
P0.5N2L40.form268, 46, 2, 4, true
P0.5N2L40.form269, 55, 8, 1, true
P0.5N2L40.form270, 52, 1, 2, true
P0.5N2L40.form271, 55, 0, 4, true
P0.5N2L40.form272, 55, 0, 8, true
P0.5N2L40.form273, 49, 0, 5, true
P0.5N2L40.form274, 58, 0, 2, true
P0.5N2L40.form275, 61, 0, 3, true
P0.5N2L40.form276, 58, 41, 6, true
P0.5N2L40.form277, 46, 0, 5, true
P0.5N2L40.form278, 49, 1, 26, true
P0.5N2L40.form279, 55, 108, 5, true
P0.5N2L40.form280, 58, 71, 20, true
P0.5N2L40.form281, 55, 0, 3, true
P0.5N2L40.form282, 55, 1, 3, true
P0.5N2L40.form283, 52, 1, 6, true
P0.5N2L40.form284, 43, 3, 2, true
P0.5N2L40.form285, 55, 5, 2, true
P0.5N2L40.form286, 58, 179, 9, true
P0.5N2L40.form287, 55, 6, 4, true
P0.5N2L40.form288, 55, 7, 3, true
P0.5N2L40.form289, 61, 1, 5, true
P0.5N2L40.form290, 52, 1, 2, true
P0.5N2L40.form291, 49, 13, 3, true
P0.5N2L40.form292, 55, 0, 5, true
P0.5N2L40.form293, 49, 14, 2, true
P0.5N2L40.form294, 46, 11, 3, true
P0.5N2L40.form295, 58, 1, 3, true
P0.5N2L40.form296, 58, 36, 7, true
P0.5N2L40.form297, 52, 9, 15, true
P0.5N2L40.form298, 52, 282, 6, true
P0.5N2L40.form299, 46, 7, 1, true
P0.5N2L40.form300, 49, 32, 5, true
P0.5N2L40.form301, 49, 0, 2, true
P0.5N2L40.form302, 49, 13, 5, true
P0.5N2L40.form303, 49, 0, 5, true
P0.5N2L40.form304, 49, 53, 5, true
P0.5N2L40.form305, 58, 0, 2, true
P0.5N2L40.form306, 52, 0, 1, true
P0.5N2L40.form307, 55, 2, 3, true
P0.5N2L40.form308, 49, 0, 1, true
P0.5N2L40.form309, 52, 136, 8, true
P0.5N2L40.form310, 49, 7, 4, true
P0.5N2L40.form311, 61, 3, 1, true
P0.5N2L40.form312, 49, 5, 5, true
P0.5N2L40.form313, 49, 51, 10, true
P0.5N2L40.form314, 55, 0, 1, true
P0.5N2L40.form315, 49, 193, 3, true
P0.5N2L40.form316, 46, 45, 10, true
P0.5N2L40.form317, 46, 9, 1, true
P0.5N2L40.form318, 52, 0, 2, true
P0.5N2L40.form319, 64, 937, 4, true
P0.5N2L40.form320, 49, 0, 2, true
P0.5N2L40.form321, 61, 4, 4, true
P0.5N2L40.form322, 61, 60, 8, true
P0.5N2L40.form323, 58, 349, 5, true
P0.5N2L40.form324, 52, 2, 1, true
P0.5N2L40.form325, 52, 21, 5, true
P0.5N2L40.form326, 64, 35, 3, true
P0.5N2L40.form327, 58, 9, 6, true
P0.5N2L40.form328, 49, 0, 3, true
P0.5N2L40.form329, 52, 0, 4, true
P0.5N2L40.form330, 46, 0, 4, true
P0.5N2L40.form331, 61, 2, 4, true
P0.5N2L40.form332, 55, 0, 2, true
P0.5N2L40.form333, 49, 706, 7, true
P0.5N2L40.form334, 43, 3, 4, true
P0.5N2L40.form335, 46, 2, 1, true
P0.5N2L40.form336, 58, 0, 4, true
P0.5N2L40.form337, 58, 1, 1, true
P0.5N2L40.form338, 49, 0, 1, true
P0.5N2L40.form339, 55, 0, 3, true
P0.5N2L40.form340, 46, 0, 4, true
P0.5N2L40.form341, 58, 0, 5, true
P0.5N2L40.form342, 52, 51, 11, true
P0.5N2L40.form343, 46, 1, 5, true
P0.5N2L40.form344, 58, 19, 2, true
P0.5N2L40.form345, 55, 115, 7, true
P0.5N2L40.form346, 55, 9, 2, true
P0.5N2L40.form347, 52, 2, 3, true
P0.5N2L40.form348, 49, 4, 2, true
P0.5N2L40.form349, 55, 0, 4, true
P0.5N2L40.form350, 55, 132, 6, true
P0.5N2L40.form351, 58, 26, 1, true
P0.5N2L40.form352, 55, 148, 3, true
P0.5N2L40.form353, 52, 756, 5, true
P0.5N2L40.form354, 61, 0, 2, true
P0.5N2L40.form355, 52, 4, 6, true
P0.5N2L40.form356, 52, 2, 1, true
P0.5N2L40.form357, 46, 3, 2, true
P0.5N2L40.form358, 52, 10, 3, true
P0.5N2L40.form359, 58, 1, 1, true
P0.5N2L40.form360, 49, 3, 1, true
P0.5N2L40.form361, 61, 398, 7, true
P0.5N2L40.form362, 55, 1, 4, true
P0.5N2L40.form363, 52, 52, 12, true
P0.5N2L40.form364, 55, 2, 1, true
P0.5N2L40.form365, 52, 0, 32, true
P0.5N2L40.form366, 61, 29, 4, true
P0.5N2L40.form367, 55, 192, 6, true
P0.5N2L40.form368, 52, 3, 6, true
P0.5N2L40.form369, 46, 0, 6, true
P0.5N2L40.form370, 49, 0, 1, true
P0.5N2L40.form371, 55, 50, 5, true
P0.5N2L40.form372, 52, 172, 4, true
P0.5N2L40.form373, 49, 11, 3, true
P0.5N2L40.form374, 46, 109, 4, true
P0.5N2L40.form375, 55, 0, 2, true
P0.5N2L40.form376, 52, 2, 6, true
P0.5N2L40.form377, 52, 15, 9, true
P0.5N2L40.form378, 46, 67, 3, true
P0.5N2L40.form379, 58, 220, 3, true
P0.5N2L40.form380, 55, 646, 2, true
P0.5N2L40.form381, 55, 0, 22, true
P0.5N2L40.form382, 52, 13, 2, true
P0.5N2L40.form383, 46, 2, 6, true
P0.5N2L40.form384, 52, 120, 2, true
P0.5N2L40.form385, 58, 1, 4, true
P0.5N2L40.form386, 55, 0, 7, true
P0.5N2L40.form387, 49, 2, 4, true
P0.5N2L40.form388, 64, 87, 4, true
P0.5N2L40.form389, 61, 1, 3, true
P0.5N2L40.form390, 49, 0, 1, true
P0.5N2L40.form391, 58, 0, 2, true
P0.5N2L40.form392, 55, 58, 5, true
P0.5N2L40.form393, 55, 2, 2, true
P0.5N2L40.form394, 55, 19, 3, true
P0.5N2L40.form395, 52, 0, 10, true
P0.5N2L40.form396, 61, 20, 1, true
P0.5N2L40.form397, 58, 311, 48, true
P0.5N2L40.form398, 58, 11, 2, true
P0.5N2L40.form399, 46, 6, 3, true
P0.5N2L40.form400, 49, 6, 2, true
P0.5N2L40.form401, 55, 29, 2, true
P0.5N2L40.form402, 55, 7, 5, true
P0.5N2L40.form403, 49, 3, 2, true
P0.5N2L40.form404, 52, 0, 3, true
P0.5N2L40.form405, 49, 1453, 10, true
P0.5N2L40.form406, 52, 825, 4, true
P0.5N2L40.form407, 58, 10, 2, true
P0.5N2L40.form408, 49, 0, 2, true
P0.5N2L40.form409, 43, 58, 14, true
P0.5N2L40.form410, 58, 0, 2, true
P0.5N2L40.form411, 52, 17, 1, true
P0.5N2L40.form412, 61, 0, 8, true
P0.5N2L40.form413, 55, 0, 3, true
P0.5N2L40.form414, 55, 28, 3, true
P0.5N2L40.form415, 61, 586, 13, true
P0.5N2L40.form416, 52, 7, 2, true
P0.5N2L40.form417, 49, 4, 1, true
P0.5N2L40.form418, 55, 4, 8, true
P0.5N2L40.form419, 46, 132, 6, true
P0.5N2L40.form420, 49, 8, 2, true
P0.5N2L40.form421, 58, 0, 3, true
P0.5N2L40.form422, 64, 0, 1, true
P0.5N2L40.form423, 49, 1, 3, true
P0.5N2L40.form424, 67, 180, 6, true
P0.5N2L40.form425, 61, 1, 7, true
P0.5N2L40.form426, 61, 72, 5, true
P0.5N2L40.form427, 49, 1, 3, true
P0.5N2L40.form428, 55, 399, 4, true
P0.5N2L40.form429, 55, 0, 2, true
P0.5N2L40.form430, 61, 259, 6, true
P0.5N2L40.form431, 49, 0, 1, true
P0.5N2L40.form432, 52, 36, 5, true
P0.5N2L40.form433, 52, 3, 9, true
P0.5N2L40.form434, 49, 1, 2, true
P0.5N2L40.form435, 64, 77, 4, true
P0.5N2L40.form436, 52, 80, 2, true
P0.5N2L40.form437, 52, 6, 3, true
P0.5N2L40.form438, 55, 157, 1, true
P0.5N2L40.form439, 49, 8, 3, true
P0.5N2L40.form440, 55, 16, 8, true
P0.5N2L40.form441, 58, 0, 1, true
P0.5N2L40.form442, 67, 1, 5, true
P0.5N2L40.form443, 46, 0, 2, true
P0.5N2L40.form444, 61, 143, 2, true
P0.5N2L40.form445, 67, 504, 4, true
P0.5N2L40.form446, 49, 0, 5, true
P0.5N2L40.form447, 61, 0, 5, true
P0.5N2L40.form448, 55, 16, 1, true
P0.5N2L40.form449, 52, 13, 3, true
P0.5N2L40.form450, 52, 26, 2, true
P0.5N2L40.form451, 52, 351, 5, true
P0.5N2L40.form452, 52, 0, 2, true
P0.5N2L40.form453, 58, 98, 3, true
P0.5N2L40.form454, 58, 1658, 9, true
P0.5N2L40.form455, 55, 263, 9, true
P0.5N2L40.form456, 55, 0, 3, true
P0.5N2L40.form457, 64, 36, 3, true
P0.5N2L40.form458, 40, 0, 1, true
P0.5N2L40.form459, 55, 154, 5, true
P0.5N2L40.form460, 52, 805, 8, true
P0.5N2L40.form461, 49, 5, 3, true
P0.5N2L40.form462, 55, 19, 1, true
P0.5N2L40.form463, 49, 6, 1, true
P0.5N2L40.form464, 55, 6, 3, true
P0.5N2L40.form465, 52, 270, 12, true
P0.5N2L40.form466, 55, 0, 4, true
P0.5N2L40.form467, 46, 0, 3, true
P0.5N2L40.form468, 55, 0, 10, true
P0.5N2L40.form469, 52, 25, 5, true
P0.5N2L40.form470, 55, 0, 5, true
P0.5N2L40.form471, 52, 15, 1, true
P0.5N2L40.form472, 67, 215, 4, true
P0.5N2L40.form473, 55, 59, 2, true
P0.5N2L40.form474, 52, 4, 1, true
P0.5N2L40.form475, 55, 2, 3, true
P0.5N2L40.form476, 55, 2, 2, true
P0.5N2L40.form477, 73, 9, 3, true
P0.5N2L40.form478, 58, 23, 1, true
P0.5N2L40.form479, 58, 114, 6, true
P0.5N2L40.form480, 55, 0, 8, true
P0.5N2L40.form481, 55, TO, 14, true
P0.5N2L40.form482, 55, 4, 3, true
P0.5N2L40.form483, 55, 0, 5, true
P0.5N2L40.form484, 49, 8, 2, true
P0.5N2L40.form485, 55, 0, 5, true
P0.5N2L40.form486, 58, 2, 5, true
P0.5N2L40.form487, 43, 225, 4, true
P0.5N2L40.form488, 55, 1504, 2, true
P0.5N2L40.form489, 55, TO, 5, true
P0.5N2L40.form490, 55, 0, 18, true
P0.5N2L40.form491, 61, 62, 3, true
P0.5N2L40.form492, 52, 5, 1, true
P0.5N2L40.form493, 52, 3, 5, true
P0.5N2L40.form494, 49, 1, 26, true
P0.5N2L40.form495, 46, 0, 2, true
P0.5N2L40.form496, 61, 532, 3, true
P0.5N2L40.form497, 64, 0, 18, true
P0.5N2L40.form498, 55, 113, 2, true
P0.5N2L40.form499, 46, 0, 2, true
P0.5N2L50.form, 59, 0, 3, true
P0.5N2L50.form1, 65, 5, 15, true
P0.5N2L50.form2, 59, 4, 3, true
P0.5N2L50.form3, 71, 0, 7, true
P0.5N2L50.form4, 71, 0, 7, true
P0.5N2L50.form5, 68, 990, 7, true
P0.5N2L50.form6, 59, 14, 9, true
P0.5N2L50.form7, 65, 217, 12, true
P0.5N2L50.form8, 65, 0, 14, true
P0.5N2L50.form9, 65, 1, 4, true
P0.5N2L50.form10, 74, 0, 7, true
P0.5N2L50.form11, 71, 35, 5, true
P0.5N2L50.form12, 65, 0, 2, true
P0.5N2L50.form13, 68, 1218, 6, true
P0.5N2L50.form14, 65, 0, 5, true
P0.5N2L50.form15, 59, 0, 5, true
P0.5N2L50.form16, 56, 0, 2, true
P0.5N2L50.form17, 59, 11, 3, true
P0.5N2L50.form18, 65, TO, 9, true
P0.5N2L50.form19, 74, 0, 3, true
P0.5N2L50.form20, 68, 18, 3, true
P0.5N2L50.form21, 65, 1, 8, true
P0.5N2L50.form22, 77, 4, 9, true
P0.5N2L50.form23, 80, 565, 2, true
P0.5N2L50.form24, 74, 5, 4, true
P0.5N2L50.form25, 68, 0, 10, true
P0.5N2L50.form26, 62, 763, 8, true
P0.5N2L50.form27, 65, 0, 2, true
P0.5N2L50.form28, 77, TO, 16, true
P0.5N2L50.form29, 80, 19, 4, true
P0.5N2L50.form30, 62, 209, 8, true
P0.5N2L50.form31, 59, 56, 4, true
P0.5N2L50.form32, 71, 0, 3, true
P0.5N2L50.form33, 65, 0, 36, true
P0.5N2L50.form34, 92, 0, 5, true
P0.5N2L50.form35, 65, 1, 12, true
P0.5N2L50.form36, 68, 101, 4, true
P0.5N2L50.form37, 68, 1, 5, true
P0.5N2L50.form38, 59, 17, 9, true
P0.5N2L50.form39, 65, 11, 2, true
P0.5N2L50.form40, 71, 444, 16, true
P0.5N2L50.form41, 68, 0, 4, true
P0.5N2L50.form42, 74, 102, 9, true
P0.5N2L50.form43, 68, 6, 9, true
P0.5N2L50.form44, 62, TO, 10, true
P0.5N2L50.form45, 68, 9, 7, true
P0.5N2L50.form46, 74, 33, 13, true
P0.5N2L50.form47, 71, 683, 5, true
P0.5N2L50.form48, 71, 0, 2, true
P0.5N2L50.form49, 71, 0, 4, true
P0.5N2L50.form50, 80, TO, 29, true
P0.5N2L50.form51, 68, 36, 5, true
P0.5N2L50.form52, 65, 0, 6, true
P0.5N2L50.form53, 65, 60, 2, true
P0.5N2L50.form54, 65, 38, 6, true
P0.5N2L50.form55, 68, 68, 4, true
P0.5N2L50.form56, 68, 1655, 22, true
P0.5N2L50.form57, 65, 0, 3, true
P0.5N2L50.form58, 65, TO, 14, true
P0.5N2L50.form59, 65, 95, 7, true
P0.5N2L50.form60, 68, 0, 5, true
P0.5N2L50.form61, 71, 1197, 10, true
P0.5N2L50.form62, 62, 0, 4, true
P0.5N2L50.form63, 62, 0, 6, true
P0.5N2L50.form64, 62, 1, 10, true
P0.5N2L50.form65, 68, 4, 6, true
P0.5N2L50.form66, 83, 1605, 14, true
P0.5N2L50.form67, 62, 33, 17, true
P0.5N2L50.form68, 80, 328, 4, true
P0.5N2L50.form69, 68, 1, 13, true
P0.5N2L50.form70, 80, TO, 20, true
P0.5N2L50.form71, 62, 0, 7, true
P0.5N2L50.form72, 65, 34, 18, true
P0.5N2L50.form73, 65, 45, 3, true
P0.5N2L50.form74, 80, 11, 8, true
P0.5N2L50.form75, 59, 11, 5, true
P0.5N2L50.form76, 80, 11, 8, true
P0.5N2L50.form77, 68, 14, 3, true
P0.5N2L50.form78, 80, 0, 16, true
P0.5N2L50.form79, 65, 19, 1, true
P0.5N2L50.form80, 74, 0, 5, true
P0.5N2L50.form81, 65, 1, 4, true
