formula, size, congruence, reverse, result 
P0.5N2L10.form95, 19, 5, 0, true
P0.5N2L10.form96, 16, 2, 0, true
P0.5N2L10.form97, 16, 10, 0, true
P0.5N2L10.form98, 13, 2, 0, true
P0.5N2L10.form99, 13, 3, 1, true
P0.5N2L10.form100, 13, 10, 3, true
P0.5N2L10.form101, 13, 4, 1, true
P0.5N2L10.form102, 16, 9, 0, true
P0.5N2L10.form103, 13, 2, 1, true
P0.5N2L10.form104, 16, 10, 0, true
P0.5N2L10.form105, 10, 0, 0, true
P0.5N2L10.form106, 10, 5, 1, true
P0.5N2L10.form107, 10, 0, 1, true
P0.5N2L10.form108, 13, 9, 1, true
P0.5N2L10.form109, 13, 4, 1, true
P0.5N2L10.form110, 13, 5, 0, true
P0.5N2L10.form111, 10, 2, 1, true
P0.5N2L10.form112, 16, 5, 0, true
P0.5N2L10.form113, 10, 1, 0, true
P0.5N2L10.form114, 13, 0, 1, true
P0.5N2L10.form115, 16, 6, 1, true
P0.5N2L10.form116, 16, 3, 0, true
P0.5N2L10.form117, 10, 3, 0, true
P0.5N2L10.form118, 13, 13, 1, true
P0.5N2L10.form119, 10, 0, 0, true
P0.5N2L10.form120, 10, 1, 0, true
P0.5N2L10.form121, 13, 9, 1, true
P0.5N2L10.form122, 10, 4, 1, true
P0.5N2L10.form123, 10, 0, 0, true
P0.5N2L10.form124, 13, 6, 1, true
P0.5N2L10.form125, 13, 6, 0, true
P0.5N2L10.form126, 13, 6, 0, true
P0.5N2L10.form127, 16, 1, 0, true
P0.5N2L10.form128, 10, 0, 0, true
P0.5N2L10.form129, 10, 1, 1, true
P0.5N2L10.form130, 13, 0, 0, true
P0.5N2L10.form131, 13, 3, 0, true
P0.5N2L10.form132, 13, 1, 0, true
P0.5N2L10.form133, 16, 1, 1, true
P0.5N2L10.form134, 13, 3, 1, true
P0.5N2L10.form135, 16, 2, 0, true
P0.5N2L10.form136, 16, 3, 0, true
P0.5N2L10.form137, 13, 6, 1, true
P0.5N2L10.form138, 13, 5, 1, true
P0.5N2L10.form139, 16, 3, 1, true
P0.5N2L10.form140, 10, 0, 0, true
P0.5N2L10.form141, 19, 5, 0, true
P0.5N2L10.form142, 16, 3, 1, true
P0.5N2L10.form143, 13, 1, 0, true
P0.5N2L10.form144, 10, 8, 1, true
P0.5N2L10.form145, 10, 2, 1, true
P0.5N2L10.form146, 13, 6, 1, true
P0.5N2L10.form147, 10, 1, 0, true
P0.5N2L10.form148, 13, 1, 0, true
P0.5N2L10.form149, 19, 12, 1, true
P0.5N2L10.form150, 13, 4, 0, true
P0.5N2L10.form151, 13, 4, 1, true
P0.5N2L10.form152, 10, 1, 0, true
P0.5N2L10.form153, 10, 4, 0, true
P0.5N2L10.form154, 13, 0, 0, true
P0.5N2L10.form155, 13, 2, 0, true
P0.5N2L10.form156, 16, 2, 1, true
P0.5N2L10.form157, 13, 2, 0, true
P0.5N2L10.form158, 10, 1, 0, true
P0.5N2L10.form159, 16, 3, 1, true
P0.5N2L10.form160, 16, 34, 0, true
P0.5N2L10.form161, 10, 0, 0, true
P0.5N2L10.form162, 13, 6, 1, true
P0.5N2L10.form163, 10, 0, 0, true
P0.5N2L10.form164, 13, 1, 0, true
P0.5N2L10.form165, 16, 1, 0, true
P0.5N2L10.form166, 13, 1, 0, true
P0.5N2L10.form167, 13, 6, 1, true
P0.5N2L10.form168, 10, 0, 1, true
P0.5N2L10.form169, 13, 0, 0, true
P0.5N2L10.form170, 16, 1, 1, true
P0.5N2L10.form171, 10, 0, 1, true
P0.5N2L10.form172, 10, 5, 3, true
P0.5N2L10.form173, 16, 4, 1, true
P0.5N2L10.form174, 13, 10, 1, true
P0.5N2L10.form175, 16, 1, 0, true
P0.5N2L10.form176, 16, 2, 0, true
P0.5N2L10.form177, 13, 2, 0, true
P0.5N2L10.form178, 10, 2, 2, true
P0.5N2L10.form179, 13, 1, 0, true
P0.5N2L10.form180, 13, 0, 0, true
P0.5N2L10.form181, 13, 11, 1, true
P0.5N2L10.form182, 16, 9, 1, true
P0.5N2L10.form183, 13, 2, 1, true
P0.5N2L10.form184, 16, 2, 0, true
