formula, size, congruence, reverse, result 
counter_10.ltl, 303, 11, 
counter_11.ltl, 336, 13, 
counter_12.ltl, 371, 14, 
counter_13.ltl, 408, 17, 
counter_14.ltl, 447, 20, 
counter_15.ltl, 488, 22, 
counter_16.ltl, 531, 25, 
counter_2.ltl, 111, 1, 
counter_3.ltl, 128, 1, 
counter_4.ltl, 147, 2, 
counter_5.ltl, 168, 4, 
counter_6.ltl, 191, 4, 
counter_7.ltl, 216, 6, 
counter_8.ltl, 243, 7, 
counter_9.ltl, 272, 8, 
counter_l_10.ltl, 213, 9, 
counter_l_11.ltl, 227, 11, 
counter_l_12.ltl, 241, 12, 
counter_l_13.ltl, 255, 14, 
counter_l_14.ltl, 269, 16, 
counter_l_15.ltl, 283, 18, 
counter_l_16.ltl, 297, 21, 
counter_l_2.ltl, 101, 1, 
counter_l_3.ltl, 115, 2, 
counter_l_4.ltl, 129, 3, 
counter_l_5.ltl, 143, 3, 
counter_l_6.ltl, 157, 4, 
counter_l_7.ltl, 171, 6, 
counter_l_8.ltl, 185, 7, 
counter_l_9.ltl, 199, 8, 
lift_2.ltl, 247, 7, 
lift_3.ltl, 366, 19, 
lift_4.ltl, 488, 57, 
lift_5.ltl, 613, 200, 
lift_6.ltl, 741, 938, 
lift_7.ltl, 872, 4427, 
lift_8.ltl, 1006, TO, 
lift_9.ltl, 1143, TO, 
lift_b_2.ltl, 242, 6, 
lift_b_3.ltl, 473, 47, 
lift_b_4.ltl, 606, 163, 
lift_b_5.ltl, 969, 3351, 
lift_b_6.ltl, 1147, TO, 
lift_b_7.ltl, 1322, TO, 
lift_b_8.ltl, 1486, TO, 
lift_b_9.ltl, 2071, TO, 
P0.5N2L10.form, 16, 9, 
P0.5N2L10.form1, 10, 1, 
P0.5N2L10.form2, 13, 12, 
P0.5N2L10.form3, 16, 0, 
P0.5N2L10.form4, 16, 0, 
P0.5N2L10.form5, 13, 9, 
P0.5N2L10.form6, 16, 0, 
P0.5N2L10.form7, 13, 8, 
P0.5N2L10.form8, 16, 4, 
P0.5N2L10.form9, 13, 1, 
P0.5N2L10.form10, 16, 2, 
P0.5N2L10.form11, 16, 0, 
P0.5N2L10.form12, 13, 3, 
P0.5N2L10.form13, 16, 2, 
P0.5N2L10.form14, 10, 0, 
P0.5N2L10.form15, 10, 3, 
P0.5N2L10.form16, 13, 2, 
P0.5N2L10.form17, 16, 0, 
