formula, size, congruence-pq, total, solver, subsumption
P0.5N2L10.form72, 10, 2, 0, 2
P0.5N2L10.form73, 19, 10, 0, 9
P0.5N2L10.form74, 16, 0, 0, 0
P0.5N2L10.form75, 13, 2, 0, 2
P0.5N2L10.form76, 13, 4, 0, 3
P0.5N2L10.form77, 19, 7, 0, 5
P0.5N2L10.form78, 13, 2, 0, 2
P0.5N2L10.form79, 10, 0, 0, 0
P0.5N2L10.form80, 13, 3, 0, 3
P0.5N2L10.form81, 10, 0, 0, 0
P0.5N2L10.form82, 13, 1, 0, 1
P0.5N2L10.form83, 19, 4, 0, 3
P0.5N2L10.form84, 16, 7, 1, 5
P0.5N2L10.form85, 13, 4, 0, 3
P0.5N2L10.form86, 16, 0, 0, 0
P0.5N2L10.form87, 10, 0, 0, 0
P0.5N2L10.form88, 13, 0, 0, 0
P0.5N2L10.form89, 16, 1, 0, 1
P0.5N2L10.form90, 16, 1, 0, 1
P0.5N2L10.form91, 10, 0, 0, 0
P0.5N2L10.form92, 16, 1, 0, 1
P0.5N2L10.form93, 13, 1, 1, 0
P0.5N2L10.form94, 10, 2, 0, 1
P0.5N2L10.form95, 19, 5, 0, 5
P0.5N2L10.form96, 16, 1, 0, 1
P0.5N2L10.form97, 16, 8, 0, 7
P0.5N2L10.form98, 13, 3, 1, 2
P0.5N2L10.form99, 13, 3, 1, 2
P0.5N2L10.form100, 13, 8, 0, 5
P0.5N2L10.form101, 13, 2, 0, 1
P0.5N2L10.form102, 16, 6, 0, 5
P0.5N2L10.form103, 13, 2, 0, 2
P0.5N2L10.form104, 16, 8, 0, 8
P0.5N2L10.form105, 10, 1, 0, 0
P0.5N2L10.form106, 10, 4, 0, 4
P0.5N2L10.form107, 10, 1, 1, 0
P0.5N2L10.form108, 13, 10, 0, 8
P0.5N2L10.form109, 13, 4, 0, 3
P0.5N2L10.form110, 13, 4, 0, 4
P0.5N2L10.form111, 10, 1, 0, 1
P0.5N2L10.form112, 16, 5, 1, 4
P0.5N2L10.form113, 10, 0, 0, 0
P0.5N2L10.form114, 13, 0, 0, 0
P0.5N2L10.form115, 16, 4, 0, 4
P0.5N2L10.form116, 16, 3, 0, 3
P0.5N2L10.form117, 10, 2, 0, 2
P0.5N2L10.form118, 13, 8, 0, 7
P0.5N2L10.form119, 10, 0, 0, 0
P0.5N2L10.form120, 10, 0, 0, 0
P0.5N2L10.form121, 13, 9, 1, 6
P0.5N2L10.form122, 10, 4, 1, 3
P0.5N2L10.form123, 10, 1, 0, 0
P0.5N2L10.form124, 13, 5, 0, 5
P0.5N2L10.form125, 13, 5, 0, 4
P0.5N2L10.form126, 13, 4, 0, 3
P0.5N2L10.form127, 16, 0, 0, 0
P0.5N2L10.form128, 10, 0, 0, 0
P0.5N2L10.form129, 10, 0, 0, 0
P0.5N2L10.form130, 13, 0, 0, 0
P0.5N2L10.form131, 13, 3, 1, 2
P0.5N2L10.form132, 13, 1, 0, 1
P0.5N2L10.form133, 16, 2, 0, 2
P0.5N2L10.form134, 13, 3, 0, 3
P0.5N2L10.form135, 16, 2, 0, 2
P0.5N2L10.form136, 16, 2, 0, 2
P0.5N2L10.form137, 13, 5, 1, 3
P0.5N2L10.form138, 13, 4, 0, 3
P0.5N2L10.form139, 16, 2, 0, 1
P0.5N2L10.form140, 10, 0, 0, 0
P0.5N2L10.form141, 19, 4, 0, 2
P0.5N2L10.form142, 16, 2, 0, 2
