formula, size, total, solver, subsumption, reverse
P0.5N2L10.form25, 16, 0, 0, 0, 
P0.5N2L10.form26, 10, 0, 0, 0, 
P0.5N2L10.form27, 19, 0, 0, 0, 
P0.5N2L10.form28, 10, 0, 0, 0, 
P0.5N2L10.form29, 16, 0, 0, 0, 
P0.5N2L10.form30, 10, 1, 0, 1, 
P0.5N2L10.form31, 13, 1, 0, 1, 
P0.5N2L10.form32, 19, 0, 0, 0, 
P0.5N2L10.form33, 16, 0, 0, 0, 
P0.5N2L10.form34, 13, 0, 0, 0, 
P0.5N2L10.form35, 13, 0, 0, 0, 
P0.5N2L10.form36, 13, 0, 0, 0, 
P0.5N2L10.form37, 10, 1, 1, 0, 
P0.5N2L10.form38, 10, 0, 0, 0, 
P0.5N2L10.form39, 16, 0, 0, 0, 
P0.5N2L10.form40, 13, 1, 0, 0, 
P0.5N2L10.form41, 10, 0, 0, 0, 
P0.5N2L10.form42, 19, 2, 1, 1, 
P0.5N2L10.form43, 13, 0, 0, 0, 
P0.5N2L10.form44, 16, 0, 0, 0, 
P0.5N2L10.form45, 16, 0, 0, 0, 
P0.5N2L10.form46, 13, 0, 0, 0, 
P0.5N2L10.form47, 10, 1, 1, 0, 
P0.5N2L10.form48, 10, 0, 0, 0, 
P0.5N2L10.form49, 10, 0, 0, 0, 
P0.5N2L10.form50, 13, 1, 0, 1, 
P0.5N2L10.form51, 16, 0, 0, 0, 
P0.5N2L10.form52, 16, 0, 0, 0, 
P0.5N2L10.form53, 13, 0, 0, 0, 
P0.5N2L10.form54, 10, 1, 0, 1, 
P0.5N2L10.form55, 16, 0, 0, 0, 
P0.5N2L10.form56, 13, 0, 0, 0, 
P0.5N2L10.form57, 10, 0, 0, 0, 
P0.5N2L10.form58, 16, 0, 0, 0, 
P0.5N2L10.form59, 16, 1, 0, 0, 
P0.5N2L10.form60, 13, 0, 0, 0, 
P0.5N2L10.form61, 13, 1, 0, 0, 
P0.5N2L10.form62, 16, 1, 1, 0, 
P0.5N2L10.form63, 13, 0, 0, 0, 
P0.5N2L10.form64, 13, 0, 0, 0, 
P0.5N2L10.form65, 13, 1, 1, 0, 
P0.5N2L10.form66, 13, 0, 0, 0, 
P0.5N2L10.form67, 13, 0, 0, 0, 
P0.5N2L10.form68, 16, 1, 0, 1, 
