formula, size, total, solver, subsumption, reverse
P0.5N2L10.form75, 13, 2, 0, 0, 
P0.5N2L10.form76, 13, 3, 0, 0, 
P0.5N2L10.form77, 19, 2, 0, 0, 
P0.5N2L10.form78, 13, 3, 0, 1, 
P0.5N2L10.form79, 10, 3, 0, 0, 
P0.5N2L10.form80, 13, 3, 0, 1, 
P0.5N2L10.form81, 10, 4, 0, 0, 
P0.5N2L10.form82, 13, 4, 0, 0, 
P0.5N2L10.form83, 19, 4, 1, 0, 
P0.5N2L10.form84, 16, 3, 0, 1, 
P0.5N2L10.form85, 13, 12, 0, 0, 
P0.5N2L10.form86, 16, 3, 0, 0, 
P0.5N2L10.form87, 10, 3, 1, 0, 
P0.5N2L10.form88, 13, 2, 0, 0, 
P0.5N2L10.form89, 16, 4, 0, 0, 
P0.5N2L10.form90, 16, 5, 0, 0, 
P0.5N2L10.form91, 10, 5, 0, 1, 
P0.5N2L10.form92, 16, 4, 0, 0, 
P0.5N2L10.form93, 13, 3, 0, 0, 
P0.5N2L10.form94, 10, 3, 1, 0, 
P0.5N2L10.form95, 19, 4, 1, 0, 
P0.5N2L10.form96, 16, 3, 0, 0, 
P0.5N2L10.form97, 16, 3, 0, 1, 
P0.5N2L10.form98, 13, 2, 0, 0, 
P0.5N2L10.form99, 13, 3, 0, 0, 
P0.5N2L10.form100, 13, 3, 0, 0, 
P0.5N2L10.form101, 13, 3, 0, 0, 
P0.5N2L10.form102, 16, 3, 0, 1, 
P0.5N2L10.form103, 13, 3, 0, 0, 
P0.5N2L10.form104, 16, 3, 0, 0, 
P0.5N2L10.form105, 10, 3, 0, 0, 
P0.5N2L10.form106, 10, 4, 0, 1, 
P0.5N2L10.form107, 10, 4, 0, 0, 
P0.5N2L10.form108, 13, 3, 0, 0, 
P0.5N2L10.form109, 13, 3, 0, 0, 
P0.5N2L10.form110, 13, 2, 0, 0, 
P0.5N2L10.form111, 10, 3, 1, 0, 
P0.5N2L10.form112, 16, 2, 0, 0, 
P0.5N2L10.form113, 10, 3, 0, 1, 
P0.5N2L10.form114, 13, 3, 0, 1, 
P0.5N2L10.form115, 16, 3, 0, 0, 
P0.5N2L10.form116, 16, 3, 0, 1, 
P0.5N2L10.form117, 10, 3, 0, 0, 
P0.5N2L10.form118, 13, 3, 0, 0, 
P0.5N2L10.form119, 10, 2, 0, 0, 
P0.5N2L10.form120, 10, 3, 0, 0, 
P0.5N2L10.form121, 13, 4, 0, 1, 
P0.5N2L10.form122, 10, 4, 0, 1, 
P0.5N2L10.form123, 10, 2, 0, 0, 
P0.5N2L10.form124, 13, 3, 0, 0, 
P0.5N2L10.form125, 13, 3, 1, 0, 
P0.5N2L10.form126, 13, 3, 1, 0, 
P0.5N2L10.form127, 16, 3, 0, 0, 
P0.5N2L10.form128, 10, 3, 0, 0, 
P0.5N2L10.form129, 10, 3, 0, 0, 
P0.5N2L10.form130, 13, 3, 1, 0, 
P0.5N2L10.form131, 13, 2, 0, 0, 
P0.5N2L10.form132, 13, 2, 0, 0, 
P0.5N2L10.form133, 16, 2, 0, 0, 
P0.5N2L10.form134, 13, 3, 0, 0, 
P0.5N2L10.form135, 16, 3, 0, 0, 
P0.5N2L10.form136, 16, 5, 0, 0, 
P0.5N2L10.form137, 13, 5, 1, 0, 
P0.5N2L10.form138, 13, 3, 0, 0, 
P0.5N2L10.form139, 16, 3, 0, 0, 
P0.5N2L10.form140, 10, 2, 0, 0, 
P0.5N2L10.form141, 19, 3, 0, 0, 
P0.5N2L10.form142, 16, 2, 0, 0, 
P0.5N2L10.form143, 13, 3, 0, 0, 
P0.5N2L10.form144, 10, 3, 0, 0, 
P0.5N2L10.form145, 10, 2, 0, 0, 
P0.5N2L10.form146, 13, 3, 1, 0, 
P0.5N2L10.form147, 10, 4, 0, 0, 
P0.5N2L10.form148, 13, 4, 0, 0, 
P0.5N2L10.form149, 19, 3, 0, 0, 
P0.5N2L10.form150, 13, 3, 0, 0, 
P0.5N2L10.form151, 13, 2, 0, 0, 
P0.5N2L10.form152, 10, 2, 0, 0, 
P0.5N2L10.form153, 10, 3, 0, 0, 
P0.5N2L10.form154, 13, 3, 0, 0, 
P0.5N2L10.form155, 13, 2, 0, 0, 
P0.5N2L10.form156, 16, 2, 0, 0, 
P0.5N2L10.form157, 13, 3, 0, 0, 
P0.5N2L10.form158, 10, 4, 1, 0, 
P0.5N2L10.form159, 16, 3, 0, 0, 
P0.5N2L10.form160, 16, 3, 0, 0, 
P0.5N2L10.form161, 10, 3, 0, 0, 
P0.5N2L10.form162, 13, 2, 0, 0, 
P0.5N2L10.form163, 10, 3, 0, 0, 
P0.5N2L10.form164, 13, 3, 0, 1, 
P0.5N2L10.form165, 16, 3, 0, 0, 
P0.5N2L10.form166, 13, 2, 0, 0, 
P0.5N2L10.form167, 13, 3, 0, 0, 
P0.5N2L10.form168, 10, 3, 0, 0, 
P0.5N2L10.form169, 13, 2, 0, 0, 
P0.5N2L10.form170, 16, 4, 0, 0, 
P0.5N2L10.form171, 10, 5, 1, 1, 
P0.5N2L10.form172, 10, 4, 1, 0, 
P0.5N2L10.form173, 16, 3, 0, 0, 
P0.5N2L10.form174, 13, 2, 0, 0, 
P0.5N2L10.form175, 16, 2, 0, 0, 
P0.5N2L10.form176, 16, 3, 0, 0, 
P0.5N2L10.form177, 13, 2, 0, 0, 
P0.5N2L10.form178, 10, 3, 0, 1, 
P0.5N2L10.form179, 13, 3, 1, 0, 
P0.5N2L10.form180, 13, 2, 0, 0, 
P0.5N2L10.form181, 13, 7, 0, 0, 
P0.5N2L10.form182, 16, 2, 0, 0, 
P0.5N2L10.form183, 13, 2, 0, 0, 
P0.5N2L10.form184, 16, 3, 0, 0, 
P0.5N2L10.form185, 13, 4, 0, 0, 
P0.5N2L10.form186, 10, 4, 0, 0, 
P0.5N2L10.form187, 13, 3, 0, 0, 
P0.5N2L10.form188, 13, 3, 0, 0, 
P0.5N2L10.form189, 13, 3, 0, 0, 
P0.5N2L10.form190, 13, 3, 0, 0, 
P0.5N2L10.form191, 10, 3, 0, 0, 
P0.5N2L10.form192, 10, 3, 0, 1, 
P0.5N2L10.form193, 10, 2, 0, 0, 
P0.5N2L10.form194, 10, 4, 0, 0, 
P0.5N2L10.form195, 16, 4, 0, 0, 
P0.5N2L10.form196, 10, 2, 0, 0, 
P0.5N2L10.form197, 19, 2, 0, 0, 
P0.5N2L10.form198, 13, 2, 0, 0, 
P0.5N2L10.form199, 13, 3, 0, 0, 
P0.5N2L10.form200, 16, 3, 1, 0, 
P0.5N2L10.form201, 13, 2, 0, 0, 
P0.5N2L10.form202, 10, 4, 0, 1, 
P0.5N2L10.form203, 16, 5, 0, 1, 
P0.5N2L10.form204, 10, 3, 0, 0, 
P0.5N2L10.form205, 10, 2, 0, 0, 
P0.5N2L10.form206, 13, 2, 0, 0, 
P0.5N2L10.form207, 13, 2, 0, 0, 
P0.5N2L10.form208, 13, 2, 0, 0, 
P0.5N2L10.form209, 13, 3, 0, 0, 
P0.5N2L10.form210, 16, 2, 0, 0, 
P0.5N2L10.form211, 10, 3, 0, 0, 
P0.5N2L10.form212, 10, 3, 1, 0, 
P0.5N2L10.form213, 10, 3, 0, 1, 
P0.5N2L10.form214, 13, 3, 1, 0, 
P0.5N2L10.form215, 13, 2, 0, 0, 
P0.5N2L10.form216, 10, 4, 0, 0, 
P0.5N2L10.form217, 10, 4, 0, 0, 
P0.5N2L10.form218, 16, 5, 0, 1, 
P0.5N2L10.form219, 16, 3, 0, 0, 
P0.5N2L10.form220, 16, 3, 0, 1, 
P0.5N2L10.form221, 13, 3, 1, 0, 
P0.5N2L10.form222, 13, 3, 0, 0, 
P0.5N2L10.form223, 13, 2, 0, 0, 
P0.5N2L10.form224, 13, 2, 0, 0, 
P0.5N2L10.form225, 10, 3, 0, 1, 
P0.5N2L10.form226, 13, 3, 0, 0, 
P0.5N2L10.form227, 13, 3, 0, 0, 
P0.5N2L10.form228, 16, 5, 0, 0, 
P0.5N2L10.form229, 13, 5, 0, 0, 
P0.5N2L10.form230, 13, 3, 0, 0, 
P0.5N2L10.form231, 10, 2, 0, 0, 
P0.5N2L10.form232, 16, 2, 0, 0, 
P0.5N2L10.form233, 13, 3, 0, 0, 
P0.5N2L10.form234, 13, 2, 0, 0, 
P0.5N2L10.form235, 13, 3, 1, 0, 
P0.5N2L10.form236, 16, 3, 1, 0, 
P0.5N2L10.form237, 10, 3, 0, 0, 
P0.5N2L10.form238, 13, 2, 0, 0, 
P0.5N2L10.form239, 13, 2, 0, 0, 
P0.5N2L10.form240, 16, 3, 0, 0, 
P0.5N2L10.form241, 10, 3, 0, 0, 
P0.5N2L10.form242, 16, 3, 0, 0, 
P0.5N2L10.form243, 16, 6, 1, 0, 
P0.5N2L10.form244, 13, 5, 0, 0, 
P0.5N2L10.form245, 10, 3, 1, 0, 
