formula, size, total, solver, subsumption
P0.5N2L10.form45, 16, 6, 0, 5, 1, true
P0.5N2L10.form46, 13, 1, 0, 1, 0, true
P0.5N2L10.form47, 10, 4, 1, 2, 0, true
P0.5N2L10.form48, 10, 2, 0, 2, 0, true
P0.5N2L10.form49, 10, 2, 0, 2, 0, true
P0.5N2L10.form50, 13, 6, 0, 4, 1, true
P0.5N2L10.form51, 16, 5, 0, 4, 1, true
P0.5N2L10.form52, 16, 4, 0, 3, 1, true
P0.5N2L10.form53, 13, 3, 0, 3, 0, true
P0.5N2L10.form54, 10, 0, 0, 0, 0, true
P0.5N2L10.form55, 16, 2, 0, 0, 1, true
P0.5N2L10.form56, 13, 3, 0, 3, 1, true
P0.5N2L10.form57, 10, 3, 0, 2, 0, true
P0.5N2L10.form58, 16, 3, 1, 2, 0, true
P0.5N2L10.form59, 16, 6, 0, 5, 1, true
P0.5N2L10.form60, 13, 0, 0, 0, 0, true
P0.5N2L10.form61, 13, 4, 0, 3, 1, true
P0.5N2L10.form62, 16, 3, 0, 2, 1, true
P0.5N2L10.form63, 13, 2, 0, 2, 0, true
P0.5N2L10.form64, 13, 3, 0, 3, 1, true
P0.5N2L10.form65, 13, 8, 0, 5, 1, true
P0.5N2L10.form66, 13, 1, 0, 0, 1, true
P0.5N2L10.form67, 13, 2, 0, 2, 0, true
P0.5N2L10.form68, 16, 13, 0, 12, 1, true
P0.5N2L10.form69, 13, 1, 0, 1, 0, true
P0.5N2L10.form70, 19, 2, 0, 1, 0, true
P0.5N2L10.form71, 16, 4, 0, 3, 0, true
P0.5N2L10.form72, 10, 2, 0, 1, 1, true
P0.5N2L10.form73, 19, 10, 0, 8, 1, true
P0.5N2L10.form74, 16, 2, 0, 1, 0, true
P0.5N2L10.form75, 13, 2, 0, 1, 0, true
P0.5N2L10.form76, 13, 5, 0, 4, 0, true
P0.5N2L10.form77, 19, 7, 0, 4, 0, true
P0.5N2L10.form78, 13, 6, 0, 5, 1, true
P0.5N2L10.form79, 10, 2, 0, 1, 0, true
P0.5N2L10.form80, 13, 3, 0, 3, 0, true
P0.5N2L10.form81, 10, 2, 0, 2, 1, true
P0.5N2L10.form82, 13, 2, 1, 1, 0, true
P0.5N2L10.form83, 19, 4, 0, 3, 1, true
P0.5N2L10.form84, 16, 6, 0, 6, 1, true
P0.5N2L10.form85, 13, 4, 0, 4, 1, true
P0.5N2L10.form86, 16, 2, 0, 2, 0, true
P0.5N2L10.form87, 10, 3, 1, 2, 0, true
P0.5N2L10.form88, 13, 1, 0, 1, 1, true
P0.5N2L10.form89, 16, 2, 0, 2, 1, true
P0.5N2L10.form90, 16, 0, 0, 0, 0, true
P0.5N2L10.form91, 10, 1, 0, 1, 0, true
P0.5N2L10.form92, 16, 7, 0, 4, 1, true
P0.5N2L10.form93, 13, 1, 0, 1, 0, true
P0.5N2L10.form94, 10, 1, 0, 1, 0, true
P0.5N2L10.form95, 19, 6, 0, 6, 0, true
P0.5N2L10.form96, 16, 1, 0, 0, 1, true
P0.5N2L10.form97, 16, 8, 1, 6, 0, true
P0.5N2L10.form98, 13, 2, 0, 1, 1, true
P0.5N2L10.form99, 13, 3, 0, 2, 0, true
P0.5N2L10.form100, 13, 7, 0, 7, 1, true
P0.5N2L10.form101, 13, 2, 0, 2, 1, true
P0.5N2L10.form102, 16, 6, 0, 6, 1, true
P0.5N2L10.form103, 13, 2, 0, 1, 1, true
P0.5N2L10.form104, 16, 7, 0, 7, 1, true
P0.5N2L10.form105, 10, 1, 0, 1, 0, true
P0.5N2L10.form106, 10, 4, 0, 4, 0, true
P0.5N2L10.form107, 10, 3, 0, 2, 0, true
P0.5N2L10.form108, 13, 8, 0, 6, 1, true
P0.5N2L10.form109, 13, 3, 0, 2, 1, true
P0.5N2L10.form110, 13, 4, 0, 3, 0, true
P0.5N2L10.form111, 10, 3, 0, 3, 0, true
P0.5N2L10.form112, 16, 4, 1, 3, 1, true
P0.5N2L10.form113, 10, 1, 0, 1, 0, true
P0.5N2L10.form114, 13, 1, 0, 1, 0, true
P0.5N2L10.form115, 16, 4, 0, 3, 1, true
P0.5N2L10.form116, 16, 3, 0, 2, 0, true
P0.5N2L10.form117, 10, 2, 0, 2, 1, true
P0.5N2L10.form118, 13, 7, 0, 6, 0, true
P0.5N2L10.form119, 10, 2, 0, 2, 1, true
P0.5N2L10.form120, 10, 2, 0, 2, 0, true
P0.5N2L10.form121, 13, 5, 0, 3, 1, true
P0.5N2L10.form122, 10, 3, 1, 2, 1, true
P0.5N2L10.form123, 10, 2, 0, 2, 0, true
P0.5N2L10.form124, 13, 4, 0, 4, 1, true
P0.5N2L10.form125, 13, 5, 0, 5, 1, true
P0.5N2L10.form126, 13, 5, 0, 3, 0, true
P0.5N2L10.form127, 16, 2, 1, 1, 0, true
P0.5N2L10.form128, 10, 3, 0, 2, 0, true
P0.5N2L10.form129, 10, 3, 1, 2, 1, true
P0.5N2L10.form130, 13, 4, 0, 2, 0, true
P0.5N2L10.form131, 13, 2, 0, 2, 1, true
P0.5N2L10.form132, 13, 2, 0, 2, 1, true
P0.5N2L10.form133, 16, 1, 0, 1, 1, true
P0.5N2L10.form134, 13, 3, 0, 3, 1, true
P0.5N2L10.form135, 16, 1, 0, 1, 1, true
P0.5N2L10.form136, 16, 2, 0, 1, 0, true
P0.5N2L10.form137, 13, 4, 0, 3, 0, true
P0.5N2L10.form138, 13, 3, 0, 3, 1, true
P0.5N2L10.form139, 16, 2, 0, 2, 0, true
P0.5N2L10.form140, 10, 1, 0, 1, 1, true
P0.5N2L10.form141, 19, 4, 0, 3, 0, true
P0.5N2L10.form142, 16, 3, 1, 2, 2, true
P0.5N2L10.form143, 13, 4, 1, 3, 0, true
P0.5N2L10.form144, 10, 8, 0, 6, 0, true
P0.5N2L10.form145, 10, 2, 0, 2, 1, true
P0.5N2L10.form146, 13, 5, 0, 4, 0, true
P0.5N2L10.form147, 10, 2, 0, 2, 0, true
P0.5N2L10.form148, 13, 7, 0, 5, 1, true
P0.5N2L10.form149, 19, 8, 0, 4, 1, true
P0.5N2L10.form150, 13, 3, 0, 2, 1, true
P0.5N2L10.form151, 13, 3, 0, 3, 0, true
P0.5N2L10.form152, 10, 1, 0, 1, 0, true
P0.5N2L10.form153, 10, 4, 0, 4, 0, true
P0.5N2L10.form154, 13, 2, 0, 2, 0, true
P0.5N2L10.form155, 13, 1, 0, 1, 1, true
P0.5N2L10.form156, 16, 3, 0, 3, 0, true
P0.5N2L10.form157, 13, 4, 0, 3, 0, true
P0.5N2L10.form158, 10, 1, 0, 1, 0, true
P0.5N2L10.form159, 16, 2, 0, 1, 1, true
P0.5N2L10.form160, 16, 17, 0, 12, 1, true
P0.5N2L10.form161, 10, 1, 0, 1, 0, true
P0.5N2L10.form162, 13, 5, 0, 5, 0, true
P0.5N2L10.form163, 10, 1, 0, 1, 0, true
P0.5N2L10.form164, 13, 1, 0, 1, 0, true
P0.5N2L10.form165, 16, 2, 0, 1, 0, true
P0.5N2L10.form166, 13, 5, 0, 5, 0, true
P0.5N2L10.form167, 13, 5, 0, 3, 0, true
P0.5N2L10.form168, 10, 2, 0, 2, 0, true
P0.5N2L10.form169, 13, 2, 0, 2, 0, true
P0.5N2L10.form170, 16, 2, 0, 2, 0, true
P0.5N2L10.form171, 10, 1, 0, 1, 1, true
P0.5N2L10.form172, 10, 4, 0, 4, 2, true
P0.5N2L10.form173, 16, 4, 0, 4, 1, true
P0.5N2L10.form174, 13, 7, 0, 5, 0, true
P0.5N2L10.form175, 16, 3, 0, 2, 0, true
P0.5N2L10.form176, 16, 1, 0, 1, 0, true
P0.5N2L10.form177, 13, 2, 0, 2, 0, true
P0.5N2L10.form178, 10, 2, 0, 1, 1, true
P0.5N2L10.form179, 13, 2, 0, 1, 1, true
P0.5N2L10.form180, 13, 3, 0, 3, 0, true
P0.5N2L10.form181, 13, 9, 0, 7, 1, true
P0.5N2L10.form182, 16, 5, 0, 5, 0, true
P0.5N2L10.form183, 13, 4, 0, 4, 1, true
P0.5N2L10.form184, 16, 1, 0, 1, 0, true
P0.5N2L10.form185, 13, 6, 0, 4, 0, true
P0.5N2L10.form186, 10, 1, 0, 1, 1, true
P0.5N2L10.form187, 13, 3, 2, 1, 0, true
P0.5N2L10.form188, 13, 2, 0, 2, 0, true
P0.5N2L10.form189, 13, 1, 0, 1, 0, true
P0.5N2L10.form190, 13, 3, 0, 3, 0, true
P0.5N2L10.form191, 10, 4, 0, 3, 0, true
P0.5N2L10.form192, 10, 1, 0, 1, 0, true
P0.5N2L10.form193, 10, 0, 0, 0, 1, true
P0.5N2L10.form194, 10, 2, 0, 2, 1, true
P0.5N2L10.form195, 16, 4, 0, 4, 0, true
P0.5N2L10.form196, 10, 1, 0, 1, 0, true
P0.5N2L10.form197, 19, 6, 1, 3, 0, true
P0.5N2L10.form198, 13, 2, 0, 2, 0, true
P0.5N2L10.form199, 13, 3, 0, 2, 0, true
P0.5N2L10.form200, 16, 4, 0, 4, 0, true
P0.5N2L10.form201, 13, 2, 0, 2, 0, true
P0.5N2L10.form202, 10, 3, 0, 3, 0, true
P0.5N2L10.form203, 16, 12, 1, 9, 1, true
P0.5N2L10.form204, 10, 1, 0, 1, 0, true
P0.5N2L10.form205, 10, 2, 0, 2, 0, true
P0.5N2L10.form206, 13, 2, 0, 2, 0, true
P0.5N2L10.form207, 13, 1, 0, 1, 1, true
P0.5N2L10.form208, 13, 3, 0, 3, 0, true
P0.5N2L10.form209, 13, 3, 0, 3, 0, true
P0.5N2L10.form210, 16, 11, 0, 11, 1, true
P0.5N2L10.form211, 10, 1, 0, 1, 0, true
P0.5N2L10.form212, 10, 6, 0, 6, 0, true
P0.5N2L10.form213, 10, 0, 0, 0, 1, true
P0.5N2L10.form214, 13, 17, 1, 15, 1, true
P0.5N2L10.form215, 13, 2, 0, 2, 1, true
P0.5N2L10.form216, 10, 2, 0, 2, 0, true
P0.5N2L10.form217, 10, 4, 0, 4, 1, true
P0.5N2L10.form218, 16, 2, 0, 2, 0, true
P0.5N2L10.form219, 16, 6, 0, 3, 0, true
P0.5N2L10.form220, 16, 6, 0, 6, 1, true
P0.5N2L10.form221, 13, 2, 0, 2, 0, true
P0.5N2L10.form222, 13, 3, 0, 3, 0, true
P0.5N2L10.form223, 13, 2, 0, 2, 0, true
P0.5N2L10.form224, 13, 5, 0, 5, 1, true
P0.5N2L10.form225, 10, 8, 0, 6, 1, true
P0.5N2L10.form226, 13, 2, 1, 1, 1, true
P0.5N2L10.form227, 13, 2, 1, 1, 0, true
P0.5N2L10.form228, 16, 8, 0, 6, 1, true
P0.5N2L10.form229, 13, 2, 0, 1, 1, true
P0.5N2L10.form230, 13, 9, 0, 9, 1, true
P0.5N2L10.form231, 10, 2, 0, 2, 0, true
P0.5N2L10.form232, 16, 9, 0, 6, 1, true
P0.5N2L10.form233, 13, 2, 0, 2, 0, true
P0.5N2L10.form234, 13, 2, 1, 1, 0, true
P0.5N2L10.form235, 13, 6, 1, 3, 1, true
P0.5N2L10.form236, 16, 6, 0, 6, 0, true
P0.5N2L10.form237, 10, 3, 0, 3, 0, true
P0.5N2L10.form238, 13, 2, 0, 2, 0, true
P0.5N2L10.form239, 13, 4, 0, 4, 1, true
P0.5N2L10.form240, 16, 6, 0, 4, 1, true
P0.5N2L10.form241, 10, 1, 0, 1, 0, true
P0.5N2L10.form242, 16, 2, 0, 2, 0, true
P0.5N2L10.form243, 16, 3, 0, 3, 0, true
P0.5N2L10.form244, 13, 5, 0, 5, 2, true
P0.5N2L10.form245, 10, 1, 0, 1, 0, true
P0.5N2L10.form246, 10, 2, 0, 2, 1, true
P0.5N2L10.form247, 10, 3, 0, 3, 1, true
P0.5N2L10.form248, 10, 2, 0, 2, 0, true
P0.5N2L10.form249, 13, 2, 0, 2, 0, true
P0.5N2L10.form250, 16, 11, 0, 8, 1, true
P0.5N2L10.form251, 13, 1, 0, 1, 1, true
P0.5N2L10.form252, 16, 4, 0, 4, 0, true
P0.5N2L10.form253, 10, 4, 0, 3, 1, true
P0.5N2L10.form254, 13, 1, 0, 1, 0, true
P0.5N2L10.form255, 13, 3, 0, 2, 0, true
P0.5N2L10.form256, 13, 5, 1, 3, 1, true
P0.5N2L10.form257, 13, 7, 0, 5, 1, true
P0.5N2L10.form258, 13, 3, 0, 3, 0, true
P0.5N2L10.form259, 10, 1, 0, 1, 1, true
P0.5N2L10.form260, 16, 3, 0, 3, 1, true
P0.5N2L10.form261, 10, 1, 0, 1, 0, true
P0.5N2L10.form262, 10, 2, 0, 1, 0, true
P0.5N2L10.form263, 13, 8, 0, 6, 1, true
P0.5N2L10.form264, 10, 2, 0, 2, 0, true
P0.5N2L10.form265, 10, 3, 0, 3, 0, true
P0.5N2L10.form266, 10, 1, 0, 1, 1, true
P0.5N2L10.form267, 16, 2, 0, 2, 1, true
P0.5N2L10.form268, 10, 1, 0, 1, 0, true
P0.5N2L10.form269, 10, 3, 0, 3, 0, true
P0.5N2L10.form270, 16, 7, 0, 5, 1, true
P0.5N2L10.form271, 19, 13, 0, 10, 0, true
P0.5N2L10.form272, 13, 3, 0, 3, 0, true
P0.5N2L10.form273, 10, 2, 0, 1, 0, true
P0.5N2L10.form274, 10, 2, 0, 1, 0, true
P0.5N2L10.form275, 10, 5, 1, 2, 1, true
P0.5N2L10.form276, 13, 0, 0, 0, 0, true
P0.5N2L10.form277, 13, 4, 0, 4, 0, true
P0.5N2L10.form278, 13, 5, 1, 4, 1, true
P0.5N2L10.form279, 13, 2, 0, 0, 0, true
P0.5N2L10.form280, 13, 2, 0, 2, 1, true
P0.5N2L10.form281, 10, 2, 0, 2, 1, true
P0.5N2L10.form282, 13, 1, 0, 1, 1, true
P0.5N2L10.form283, 16, 6, 0, 6, 1, true
P0.5N2L10.form284, 13, 1, 0, 1, 0, true
P0.5N2L10.form285, 13, 3, 0, 3, 0, true
P0.5N2L10.form286, 10, 2, 0, 2, 0, true
P0.5N2L10.form287, 13, 5, 0, 5, 1, true
P0.5N2L10.form288, 16, 3, 0, 2, 0, true
P0.5N2L10.form289, 16, 3, 0, 3, 1, true
P0.5N2L10.form290, 13, 5, 0, 5, 1, true
